@relation 'data4-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A4-NUnknown-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A6-NUnknown-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Discretize-F-B5-M-1.0-Rfirst-last-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,6,7,8,9,10,11,5-weka.filters.unsupervised.attribute.Reorder-R2,3,4,1-weka.filters.unsupervised.attribute.Reorder-R1,2,4,3-weka.filters.unsupervised.attribute.Reorder-R2,3,4,1-weka.filters.unsupervised.attribute.Reorder-R1,2,4,3-weka.filters.unsupervised.attribute.Discretize-F-B10-M-1.0-R3-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R3-precision6'

@attribute Global_Sales {'\'(-inf-0.045]\'','\'(0.045-0.115]\'','\'(0.115-0.255]\'','\'(0.255-0.615]\'','\'(0.615-inf)\''}
@attribute Platform {Wii,NES,GB,DS,X360,PS3,PS2,SNES,GBA,3DS,PS4,N64,PS,XB,PC,2600,PSP,XOne,GC,WiiU,GEN,DC,PSV,SAT,SCD,WS,NG,TG16,3DO,GG,PCFX}
@attribute Year {'\'(-inf-1984]\'','\'(1984-1988]\'','\'(1988-1992]\'','\'(1992-1996]\'','\'(1996-2000]\'','\'(2000-2004]\'','\'(2004-2008]\'','\'(2008-2012]\'','\'(2012-2016]\'','\'(2016-inf)\''}
@attribute Genre {Sports,Platform,Racing,Role-Playing,Puzzle,Misc,Shooter,Simulation,Action,Fighting,Adventure,Strategy}

@data
'\'(0.615-inf)\'',2600,'\'(-inf-1984]\'',Misc
'\'(0.615-inf)\'',2600,'\'(-inf-1984]\'',Fighting
'\'(0.255-0.615]\'',2600,'\'(-inf-1984]\'',Sports
'\'(0.255-0.615]\'',2600,'\'(-inf-1984]\'',Action
'\'(0.255-0.615]\'',2600,'\'(-inf-1984]\'',Misc
'\'(0.615-inf)\'',2600,'\'(-inf-1984]\'',Shooter
'\'(0.615-inf)\'',2600,'\'(-inf-1984]\'',Shooter
'\'(0.615-inf)\'',2600,'\'(-inf-1984]\'',Misc
'\'(0.115-0.255]\'',2600,'\'(-inf-1984]\'',Misc
'\'(0.615-inf)\'',2600,'\'(-inf-1984]\'',Platform
'\'(0.615-inf)\'',2600,'\'(-inf-1984]\'',Shooter
'\'(0.615-inf)\'',2600,'\'(-inf-1984]\'',Shooter
'\'(0.255-0.615]\'',2600,'\'(-inf-1984]\'',Racing
'\'(0.255-0.615]\'',2600,'\'(-inf-1984]\'',Action
'\'(0.255-0.615]\'',2600,'\'(-inf-1984]\'',Action
'\'(0.615-inf)\'',2600,'\'(-inf-1984]\'',Action
'\'(0.615-inf)\'',2600,'\'(-inf-1984]\'',Puzzle
'\'(0.615-inf)\'',2600,'\'(-inf-1984]\'',Shooter
'\'(0.615-inf)\'',2600,'\'(-inf-1984]\'',Platform
'\'(0.615-inf)\'',2600,'\'(-inf-1984]\'',Shooter
'\'(0.255-0.615]\'',2600,'\'(-inf-1984]\'',Action
'\'(0.255-0.615]\'',2600,'\'(-inf-1984]\'',Simulation
'\'(0.255-0.615]\'',2600,'\'(-inf-1984]\'',Sports
'\'(0.115-0.255]\'',2600,'\'(-inf-1984]\'',Action
